Type,Trans Date,Post Date,Description,Amount,Category,Memo,
Sale,12/1/2017,12/3/2017,NOSHVIILE DELI AB BNA,-28.14,y,,
Sale,12/1/2017,12/3/2017,HERTZ RENT-A-CAR,-251.57,y,,
Sale,12/1/2017,12/3/2017,STARBUCKS AB BNA,-18.46,y,,
Sale,12/1/2017,12/3/2017,JOHNSTON &amp; MURPHY #1712,-158.25,y,,
Sale,12/1/2017,12/3/2017,RACEWAY 960   35309608,-8.35,y,,
Sale,12/1/2017,12/3/2017,NOSHVIILE DELI AB BNA,-13.57,y,,
Sale,11/30/2017,12/3/2017,BUTCHERTOWN HALL,-53.98,y,,
,,,,,,,
Sale,11/30/2017,12/1/2017,CMSVEND*BAKER VENDING,-0.7,y,,
Sale,11/29/2017,11/30/2017,CMSVEND*BAKER VENDING,-0.7,y,,
Sale,11/29/2017,11/30/2017,KROGER #502,-60,y,,
Sale,11/28/2017,11/29/2017,KROGER #502,-48.75,y,,
Sale,11/27/2017,11/29/2017,TACO BELL #016292,-11.45,y,,
Sale,11/27/2017,11/28/2017,CMSVEND*BAKER VENDING,-0.7,y,,
Sale,11/27/2017,11/28/2017,KROGER #502,-78.58,y,,
Sale,11/26/2017,11/28/2017,GORDON BIERSCH SFO,-21.6,y,,
Sale,11/26/2017,11/28/2017,UA INFLT    0162925061292,-9.59,y,,
Sale,11/26/2017,11/27/2017,IMRAN TAXI SERVICE,-50.5,y,,
Sale,11/25/2017,11/27/2017,SABELLA  LA TORRE SEA,-143.94,y,,
Sale,11/24/2017,11/27/2017,FLIP FLOP SHOPS 238 CA,-133.74,y,,
Sale,11/24/2017,11/26/2017,L OCCITANE 285,-196.2,y,,
Sale,11/24/2017,11/26/2017,COLLECTIBLE COINS,-131.8,y,,
Sale,11/21/2017,11/22/2017,UNITED      0162374526201,-1378.4,y,,
Payment,11/21/2017,11/21/2017,Payment Thank You - Web,3000,y,,
Sale,11/18/2017,11/20/2017,UA INFLT    0162924413986,-9.59,y,,
Sale,11/18/2017,11/20/2017,UA INFLT    0162924413987,-6.99,y,,
Sale,11/18/2017,11/19/2017,IMRAN TAXI SERVICE,-50.5,y,,
Sale,11/18/2017,11/19/2017,COURTYARD BY MARRIOTT,-1297.31,y,,
Sale,11/18/2017,11/19/2017,CVS/PHARMACY #09977,-30,y,,
Sale,11/17/2017,11/19/2017,PHILLIPS 66 - SUDDEN SERV,-14.66,y,,
Sale,11/17/2017,11/19/2017,NOSHVIILE DELI AB BNA,-18.92,y,,
Sale,11/17/2017,11/19/2017,HERTZ RENT-A-CAR,-424.8,y,,
Sale,11/17/2017,11/19/2017,STARBUCKS AB BNA,-23.93,y,,
Sale,11/17/2017,11/19/2017,COURTYARD BY MARRIOTT,-14.82,y,,
Sale,11/16/2017,11/19/2017,COURTYARD BY MARRIOTT,-13.73,y,,
Sale,11/16/2017,11/19/2017,BUTCHERTOWN HALL,-49.61,y,,
Sale,11/15/2017,11/17/2017,COURTYARD BY MARRIOTT,-12.64,y,,
Sale,11/15/2017,11/16/2017,KROGER #502,-48.28,y,,
Sale,11/14/2017,11/16/2017,COURTYARD BY MARRIOTT,-18.1,y,,
Sale,11/14/2017,11/16/2017,HAROLDS CHICKEN NASHVILL,-14.2,y,,
Sale,11/14/2017,11/15/2017,KROGER #502,-74.75,y,,
Sale,11/13/2017,11/15/2017,COURTYARD BY MARRIOTT,-11.71,y,,
Sale,11/13/2017,11/14/2017,CMSVEND*BAKER VENDING,-1.3,,,
Sale,11/12/2017,11/14/2017,COURTYARD BY MARRIOTT,-45.37,y,,
Sale,11/12/2017,11/14/2017,KLEIN DELI F,-21.63,y,,
Sale,11/11/2017,11/14/2017,LAKE CHABOT G.C.,-52,y,,
Sale,11/12/2017,11/13/2017,IMRAN TAXI SERVICE,-51,y,,
Sale,11/12/2017,11/13/2017,YANKEE PIER,-19.6,????,,
Sale,11/11/2017,11/13/2017,LEE'S SANDWICHES,-15.99,y,,
Sale,11/9/2017,11/12/2017,THE FISH MARKET SM,-98.6,y,,
Sale,11/10/2017,11/10/2017,ROSE CLEANERS,-76,y,,
Fee,11/10/2017,11/10/2017,PURCHASE INTEREST CHARGE,-290.03,y,,
Sale,11/8/2017,11/10/2017,JACK'S RESTAURANT &amp; BA,-20,y,,
Sale,11/8/2017,11/9/2017,CVS/PHARMACY #09554,-51.96,y,,
Sale,11/7/2017,11/9/2017,UNITED      0162372829643,-83.6,y,,
Sale,11/5/2017,11/7/2017,THE GOLF CLUB AT MOFFETT,-94,y,,
Sale,11/4/2017,11/5/2017,TOWNEPLACE SUITES,-823.2,y,,
Sale,11/3/2017,11/5/2017,UA INFLT    0162923082587,-9.99,y,,
Sale,11/3/2017,11/5/2017,HERTZ RENT-A-CAR,-370.24,y,,
Sale,11/3/2017,11/5/2017,UA INFLT    0162923082584,-9.59,y,,
Sale,11/3/2017,11/5/2017,SHELL OIL 57543615801,-14.78,y,,
Sale,11/3/2017,11/5/2017,FLYWHEEL SOFTWARE,-50,y,,
Sale,11/3/2017,11/5/2017,GRILLE DISTRICT,-20,y,,
Sale,11/3/2017,11/5/2017,UNITED      0162372288833,-650,y,,
Sale,11/2/2017,11/5/2017,MIKE'S AMERICAN,-51.58,y,,
Sale,11/1/2017,11/3/2017,UNITED      0162922836022,-200,y,,
Payment,11/2/2017,11/2/2017,Payment Thank You - Web,2500,y,,
Sale,11/1/2017,11/2/2017,TRADER JOE'S #651  QPS,-45.33,y,,
Sale,10/31/2017,11/2/2017,UNITED      0162371824896,-631,y,,
Sale,10/31/2017,11/2/2017,STARBUCKS STORE 11153,-11.61,y,,
Sale,10/31/2017,11/1/2017,TRADER JOE'S #651  QPS,-58.28,y,,
Sale,10/30/2017,11/1/2017,YARD HOUSE 83500083584,-60.62,y,,
Sale,10/30/2017,10/31/2017,TRADER JOE'S #651  QPS,-45.09,y,,
Sale,10/29/2017,10/31/2017,BUENA VISTA SF30098164,-18.44,y,,
Sale,10/29/2017,10/31/2017,SAFEWAY #639,-39.09,y,,
Sale,10/29/2017,10/30/2017,IMRAN TAXI SERVICE,-50.47,y,,
Sale,10/28/2017,10/29/2017,MARRIOTT CHICAGO NAPER,-978.14,y,,
Sale,10/27/2017,10/29/2017,EXXONMOBIL    97555395,-27.74,y,,
Sale,10/27/2017,10/29/2017,IMRAN TAXI SERVICE,-51.51,y,,
Sale,10/27/2017,10/29/2017,VENTURE T3 SALAD ORD,-11.69,? Disputued double charged,,
Sale,10/27/2017,10/29/2017,HERTZ RENT-A-CAR,-491.02,y,,
Sale,10/27/2017,10/29/2017,VENTURE T3 SALAD ORD,-11.69,y,,
Sale,10/27/2017,10/29/2017,ZOOT'S CAFE ORD,-5.45,y,,
,,,,,,,
Sale,10/26/2017,10/27/2017,WAL-MART #1848,-46.17,y,,
Sale,10/25/2017,10/27/2017,UNITED      0162371044280,-776.1,y,,
Sale,10/25/2017,10/26/2017,COOPER'S HAWK OAK LAWN,-67.03,y,,
Sale,10/24/2017,10/25/2017,WAL-MART #1848,-44.19,y,,
Sale,10/23/2017,10/24/2017,WAL-MART #1848,-58.49,y,,
Sale,10/23/2017,10/24/2017,TST* FRAICHE - SFO,-10.45,y,,
Sale,10/22/2017,10/24/2017,SAFEWAY #639,-42.12,y,,
Sale,10/22/2017,10/24/2017,KLEIN DELI F,-25.24,y,,
Sale,10/21/2017,10/24/2017,LAKE CHABOT G.C.,-52,y,,
Sale,10/22/2017,10/23/2017,IMRAN TAXI SERVICE,-50.5,y,,
Sale,10/21/2017,10/23/2017,LEE'S SANDWICHES,-11.49,y,,
Sale,10/21/2017,10/22/2017,PATRICIA KERRIGAN,-55,y,,
Sale,10/20/2017,10/22/2017,UNITED      0162370314124,-1312,y,,
Sale,10/19/2017,10/22/2017,ARCO #42370 AMPM,-19.07,y,,
Sale,10/19/2017,10/22/2017,BURKE IN A BOX LAS,-12.78,y,,
