Type,Trans Date,Post Date,Description,Amount,Category,Memo,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,ic,1529 sars,794+735,,
Sale,4/5/2017,4/7/2017,CRYSTAL SPRINGS GOLF COUR,-14,null,null,y
Payment,4/4/2017,4/4/2017,Payment Thank You - Web,1000,null,null,y
Payment,4/2/2017,4/2/2017,Payment Thank You - Web,1500,null,null,y
Sale,4/1/2017,4/4/2017,LAKE CHABOT G.C.,-51,null,null,y
Sale,4/1/2017,4/3/2017,LEE'S SANDWICHES,-11.47,null,null,y
Sale,3/29/2017,3/31/2017,CRYSTAL SPRINGS WINES N S,-33.88,null,null,y
Sale,3/27/2017,4/2/2017,LUFTHANSA   2208211736374,-130,null,null,y
Sale,3/26/2017,3/28/2017,UNITED      0162341527046,-1365.76,null,null,y
Sale,3/25/2017,3/26/2017,IMRAN TAXI SERVICE,-49,null,null,
Sale,3/24/2017,3/27/2017,COSTA CAFFE,-17.87,null,null,
Sale,3/23/2017,3/26/2017,INTER CONTINENTAL,-316.41,null,null,
Sale,3/23/2017,3/26/2017,INTER CONTINENTAL,-76.28,null,null,
Sale,3/19/2017,3/21/2017,INTER CONTINENTAL,-734.76,null,null,
Sale,3/18/2017,3/20/2017,INTER CONTINENTAL,-69.35,null,null,
Sale,3/16/2017,3/17/2017,A.M.AlHokair Gr for tour,-48.01,null,null,
Payment,3/15/2017,3/15/2017,Payment Thank You - Web,2000,null,null,
Sale,3/15/2017,3/16/2017,A.M.AlHokair Gr for tour,-200.05,null,null,
Sale,3/12/2017,3/14/2017,INTER CONTINENTAL,-944.79,null,null,
Sale,3/11/2017,3/14/2017,MAXIM RESTAURANTS COMPANY,-20.8,null,null,
Sale,3/11/2017,3/13/2017,INTER CONTINENTAL,-65.34,null,null,
Sale,3/10/2017,3/12/2017,PAPAS GRILL-KHOBAR CAT,-34.94,null,null,
Fee,3/10/2017,3/10/2017,CASH ADVANCE INTEREST CHA,-2.7,null,null,
Sale,3/9/2017,3/12/2017,INTER CONTINENTAL,-72.01,null,null,
Sale,3/9/2017,3/12/2017,STAKE HOUSE.,-34.67,null,null,
Sale,3/8/2017,3/10/2017,SAS HOTEL,-1573.64,null,null,
Sale,3/8/2017,3/10/2017,SAS HOTEL,-14.14,null,null,
Sale,3/8/2017,3/9/2017,Soul Kitchen and Restaura,-87.22,null,null,
