Type,Trans Date,Post Date,Description,Amount,Category,Memo,,,,,,,,,
4/1/2021,4/4/2021,IMA`S KUSINA,Food & Drink,Sale,-20.32,y,,,,,,,,,
4/3/2021,4/4/2021,PARKSMART - MT. DIABLO,Travel,Sale,-6,,,,,,,,,,
4/1/2021,4/4/2021,SEAFOOD CITY SUPERM,Groceries,Sale,-32.9,y,,,,,,,,,
4/2/2021,4/4/2021,SHELL OIL 57444212401,Gas,Sale,-49.05,,,,,,,,,,
4/1/2021,4/2/2021,LAKE CHABOT GOLF COURSE,Entertainment,Sale,-32,,,,,,,,,,
3/28/2021,3/30/2021,CITY OF WALNUT CREEK,Travel,Sale,-1,,,,,,,,,,
3/28/2021,3/29/2021,THE GOLF MART,Shopping,Sale,-200,y,,,,,,,,,
3/27/2021,3/28/2021,FASTRAK CSC,Travel,Sale,-45,,,,,,,,,,
3/25/2021,3/28/2021,SEAFOOD CITY SUPERM,Groceries,Sale,-45.63,y,,,,,,,,,
3/22/2021,3/24/2021,JM HEALTH BUS OFFICE,Health & Wellness,Sale,-100,y,,,,,,,,,
3/22/2021,3/23/2021,CVS/PHARMACY #09815,Health & Wellness,Sale,-87.86,,,,,,,,,,
3/19/2021,3/21/2021,CLEARME.COM *CLEAR,Personal,Sale,-179,y,,,,,,,,,
3/20/2021,3/21/2021,CVS/PHARMACY #09815,Health & Wellness,Sale,-93.7,y,,,,,,,,,
3/20/2021,3/21/2021,MARRIOTT SANTA CLARA,Travel,Sale,-193.01,,,,,,,,,,
3/20/2021,3/21/2021,3481 EL POLLO LOCO,Food & Drink,Sale,-23.93,y,,,,,,,,,
3/18/2021,3/19/2021,seafood,Travel,Sale,-45,,,,,,,,,,
3/17/2021,3/19/2021,SEAFOOD CITY SUPERM,Groceries,Sale,-61.63,y,,,,,,,,,
3/13/2021,3/15/2021,SEAFOOD CITY SUPERM,Groceries,Sale,-30.54,y,,,,,,,,,
3/12/2021,3/14/2021,BB DINER WALNUT CREEK #27,Food & Drink,Sale,-28.68,,,,,,,,,,
3/10/2021,3/10/2021,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-14.83,,,,,,,,,,
3/6/2021,3/9/2021,CITY OF WALNUT CREEK,Travel,Sale,-3.5,,,,,,,,,,
3/6/2021,3/9/2021,CITY OF WALNUT CREEK,Travel,Sale,-0.5,,,,,,,,,,
3/6/2021,3/8/2021,SILK ROAD,Food & Drink,Sale,-64.09,y,,,,,,,,,
3/6/2021,3/8/2021,SAFEWAY #0917,Groceries,Sale,-125.37,,,,,,,,,,
3/7/2021,3/7/2021,AUTOMATIC PAYMENT - THANK,,Payment,35,,,,,,,,,,
3/5/2021,3/7/2021,REPUBLIC SERVICES TRASH,Bills & Utilities,Sale,-88.76,,,,,,,,,,
3/5/2021,3/7/2021,REPUBLIC SERVICES TRASH,Bills & Utilities,Sale,-88.76,,,,,,,,,,
2/28/2021,3/3/2021,CA DMV FEE,Bills & Utilities,Sale,-5.46,,,,,,,,,,
3/1/2021,3/2/2021,LAKE CHABOT GOLF COURSE,Entertainment,Sale,-32,,,,,,,,,,
2/28/2021,3/2/2021,STATE OF CALIF DMV INT SC,Bills & Utilities,Sale,-260,,,,,,,,,,
2/28/2021,3/2/2021,SEAFOOD CITY SUPERM,Groceries,Sale,-29.23,y,,,,,,,,,
2/28/2021,3/2/2021,SEAFOOD CITY SUPERM,Groceries,Sale,-48.64,y,,,,,,,,,
2/21/2021,2/24/2021,OFFICEMAX/DEPOT 6447,Shopping,Sale,-608.43,,,,,,,,,,
2/21/2021,2/23/2021,SEAFOOD CITY SUPERM,Groceries,Sale,-29.88,y,,,,,,,,,
2/21/2021,2/23/2021,SEAFOOD CITY SUPERM,Groceries,Sale,-69.49,,,,,,,,,,
2/21/2021,2/23/2021,VALERIOS TROPICAL BAKESH,Food & Drink,Sale,-19.33,y,,,,,,,,,
2/19/2021,2/21/2021,FASTRAK CSC,Travel,Sale,-45,,,,,,,,,,
2/17/2021,2/19/2021,TRAVEL CREDIT $300/YEAR,Fees & Adjustments,Adjustment,6.5,,,,,,,,,,
2/17/2021,2/19/2021,SEAFOOD CITY SUPERM,Groceries,Sale,-27.44,y,,,,,,,,,
2/17/2021,2/19/2021,TRAVEL CREDIT $300/YEAR,Fees & Adjustments,Adjustment,63.16,,,,,,,,,,
2/17/2021,2/19/2021,SEAFOOD CITY SUPERM,Groceries,Sale,-63.16,y,,,,,,,,,
2/18/2021,2/19/2021,RED RIBBON CONCORD,Food & Drink,Sale,-20.04,y,,,,,,,,,
2/18/2021,2/19/2021,RED RIBBON CONCORD,Food & Drink,Sale,-8.94,y,,,,,,,,,
2/1/2021,2/2/2021,LAKE CHABOT GOLF COURSE,Entertainment,Sale,-32,,,,,,,,,,
2/1/2021,2/1/2021,ANNUAL MEMBERSHIP FEE,Fees & Adjustments,Fee,-450,,,,,,,,,,
1/29/2021,1/31/2021,Payment Thank You - Web,,Payment,8360.06,,,,,,,,,,
1/13/2021,1/15/2021,BEST BUY      00001404,Shopping,Return,19.99,,,,,,,,,,
1/14/2021,1/15/2021,TRAVEL CREDIT $300/YEAR,Fees & Adjustments,Adjustment,36.77,,,,,,,,,,
1/14/2021,1/15/2021,76 - BELMONT 76,Gas,Sale,-36.77,,,,,,,,,,
1/14/2021,1/15/2021,SQ *DYNAMIC MOVERS,Home,Sale,-3603,,,,,,,,,,
1/12/2021,1/14/2021,TRAVEL CREDIT $300/YEAR,Fees & Adjustments,Adjustment,42.61,,,,,,,,,,
1/12/2021,1/14/2021,SHELL OIL 57444679609,Gas,Sale,-42.61,,,,,,,,,,
1/12/2021,1/13/2021,OX MOUNTAIN SANITARY L/F,Bills & Utilities,Sale,-97,,,,,,,,,,
1/10/2021,1/12/2021,BEST BUY      00001404,Shopping,Return,130,,,,,,,,,,
1/10/2021,1/11/2021,LOWES #02604*,Home,Sale,-2479.9,y,,,,,,,,,
1/9/2021,1/10/2021,PATIO COFFEE SHOP 1,Food & Drink,Sale,-16.55,y,,,,,,,,,
1/9/2021,1/10/2021,ROSE CLEANERS,Personal,Sale,-70,,,,,,,,,,
