Type,Trans Date,Post Date,Description,Amount,Category,Memo,,,,,,,,,
6/26/2020,6/28/2020,FARM FRESH MOSS LANDING 2,Groceries,Sale,-36.96,y ? Receipt shows 36.17,,,,,,,,,
6/24/2020,6/26/2020,JACK'S PRIME BURGERS,Food & Drink,Sale,-50.77,y,,,,,,,,,
6/24/2020,6/26/2020,CINNABAR HILLS GOLF CLUB,Health & Wellness,Sale,-68,y,,,,,,,,,
6/24/2020,6/26/2020,CINNABAR HILLS GOLF CLUB,Food & Drink,Sale,-29.5,y,,,,,,,,,
6/24/2020,6/25/2020,CHEVRON 0092038,Gas,Sale,-40.13,,,,,,,,,,
6/23/2020,6/25/2020,THE BRIDGES GOLF CLUB,Health & Wellness,Sale,-59,y,,,,,,,,,
6/24/2020,6/25/2020,FASTRAK VIOLATION CENT,Travel,Sale,-24,y,,,,,,,,,
6/24/2020,6/25/2020,FASTRAK CSC,Travel,Sale,-25,y,,,,,,,,,
6/23/2020,6/24/2020,Payment Thank You - Web,,Payment,177.29,y,,,,,,,,,
6/21/2020,6/23/2020,Wegman`s Nursery,Shopping,Sale,-39.92,y,,,,,,,,,
6/22/2020,6/23/2020,SQ *MARINERS POINT GOLF C,Entertainment,Sale,-1.99,y,,,,,,,,,
6/22/2020,6/23/2020,SQ *MARINERS POINT GOLF C,Entertainment,Sale,-10,y,,,,,,,,,
,,,,,,,,,,,,,,,
6/20/2020,6/22/2020,LAKE CHABOT GOLF COURSE,Entertainment,Sale,-53,y,,,,,,,,,
6/21/2020,6/22/2020,HASSETT ACE HARDWARE R,Home,Sale,-37.29,y,,,,,,,,,
6/13/2020,6/15/2020,LAKE CHABOT GOLF COURSE,Entertainment,Sale,-53,y,,,,,,,,,
6/9/2020,6/11/2020,CRYSTAL SPRINGS GOLF COUR,Health & Wellness,Sale,-5,,,,,,,,,,
6/8/2020,6/8/2020,Payment Thank You - Web,,Payment,538.24,y,,,,,,,,,
6/6/2020,6/8/2020,LAKE CHABOT GOLF COURSE,Entertainment,Sale,-29,y,,,,,,,,,
6/5/2020,6/7/2020,CHEVRON 0092038,Gas,Sale,-42.18,,,,,,,,,,
6/5/2020,6/7/2020,CRYSTAL SPRINGS GOLF COUR,Health & Wellness,Sale,-8,,,,,,,,,,
6/1/2020,6/3/2020,LAKE CHABOT GOLF COURSE,Entertainment,Sale,-43,,,,,,,,,,
6/1/2020,6/3/2020,LAKE CHABOT GOLF COURSE,Entertainment,Sale,-87,y,,,,,,,,,
5/31/2020,6/2/2020,CRYSTAL SPRINGS GOLF COUR,Health & Wellness,Sale,-12,,,,,,,,,,
5/30/2020,6/1/2020,LAKE CHABOT GOLF COURSE,Entertainment,Sale,-60,,,,,,,,,,
5/31/2020,6/1/2020,CHEVRON 0092038,Gas,Sale,-34.06,,,,,,,,,,
5/29/2020,5/31/2020,CRYSTAL SPRINGS GOLF COUR,Health & Wellness,Sale,-8,,,,,,,,,,
5/28/2020,5/31/2020,CRYSTAL SPRINGS GOLF COUR,Health & Wellness,Sale,-8,,,,,,,,,,
5/24/2020,5/26/2020,LAKE CHABOT GOLF COURSE,Entertainment,Sale,-60,,,,,,,,,,
5/17/2020,5/19/2020,TILDEN PARK 103 PS,Entertainment,Sale,-69,y,,,,,,,,,
5/17/2020,5/19/2020,BARNEYS PIEDMONT,Food & Drink,Sale,-52.83,,,,,,,,,,
5/16/2020,5/18/2020,POPLAR CREEK GOLF COURSE,Entertainment,Sale,-25,y,,,,,,,,,
5/15/2020,5/17/2020,GolfNow Reservation,Entertainment,Sale,-4.98,y,,,,,,,,,
5/9/2020,5/11/2020,POPLAR CREEK GOLF COURSE,Entertainment,Sale,-25,y,,,,,,,,,
4/12/2020,4/12/2020,Payment Thank You - Web,,Payment,2128,y,,,,,,,,,
4/10/2020,4/10/2020,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-23.65,y,,,,,,,,,
4/4/2020,4/5/2020,UBER   EATS,Food & Drink,Sale,-85.58,y,,,,,,,,,
4/2/2020,4/5/2020,FISHER AND BAGLEY CPAS,Professional Services,Sale,-582,y,,,,,,,,,
3/19/2020,3/20/2020,CLEARME.COM *CLEAR,Personal,Sale,-179,y,,,,,,,,,
3/19/2020,3/19/2020,UBER   EATS,Food & Drink,Sale,-57.85,y,,,,,,,,,
3/18/2020,3/18/2020,Payment Thank You - Web,,Payment,1000,y,,,,,,,,,
3/13/2020,3/15/2020,HEATING AND AIR,Home,Sale,-903.42,y,,,,,,,,,
3/10/2020,3/11/2020,HEATING AND AIR,Home,Sale,-100,y,,,,,,,,,
3/10/2020,3/10/2020,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-11.45,y,,,,,,,,,
3/7/2020,3/8/2020,TASTE OF PHO,Food & Drink,Sale,-87.39,y,,,,,,,,,
3/6/2020,3/8/2020,PATRICIA KERRIGAN,Health & Wellness,Sale,-55,y,,,,,,,,,
3/3/2020,3/4/2020,PEACOCK KORIANDER INDIAN,Food & Drink,Sale,-57.82,y,,,,,,,,,
2/29/2020,3/2/2020,SHELL OIL 57444679500,Gas,Sale,-14.32,,,,,,,,,,
2/28/2020,3/1/2020,AJI LIMO PERUVIAN,Food & Drink,Sale,-91.54,y,,,,,,,,,
2/28/2020,2/28/2020,Payment Thank You - Web,,Payment,2700,y,,,,,,,,,
2/26/2020,2/27/2020,UBER   TRIP,Travel,Sale,-14.4,y,,,,,,,,,
2/27/2020,2/27/2020,UBER   TRIP,Travel,Sale,-15.26,y,,,,,,,,,
2/21/2020,2/23/2020,SUBWAY        00301960,Food & Drink,Sale,-21.2,y,,,,,,,,,
2/22/2020,2/23/2020,HOBEE'S #4,Food & Drink,Sale,-32.54,y,,,,,,,,,
,,,,,,,,,,,,,,,
2/20/2020,2/21/2020,SQ *CHASE CENTER,Food & Drink,Sale,-16.1,y,,,,,,,,,
2/20/2020,2/21/2020,SQ *CHASE CENTER,Food & Drink,Sale,-59.8,y,,,,,,,,,
2/20/2020,2/21/2020,SQ *CHASE CENTER,Food & Drink,Sale,-48.3,y,,,,,,,,,
2/20/2020,2/21/2020,GAMETIME    TICKETS,Entertainment,Sale,-198,y,,,,,,,,,
2/21/2020,2/21/2020,GAMETIME    TICKETS,Entertainment,Return,198,y,,,,,,,,,
2/16/2020,2/18/2020,Wegman`s Nursery,Shopping,Sale,-33.94,,,,,,,,,,
2/15/2020,2/17/2020,MISSION ROCK RESORT,Food & Drink,Sale,-204.69,y,,,,,,,,,
2/15/2020,2/17/2020,IHOP #625,Food & Drink,Sale,-32.71,y,,,,,,,,,
2/16/2020,2/17/2020,IMPARK00270001U,Travel,Sale,-10,y,,,,,,,,,
2/15/2020,2/16/2020,SQ *CHASE CENTER,Food & Drink,Sale,-25,y,,,,,,,,,
2/15/2020,2/16/2020,SQ *CHASE CENTER,Food & Drink,Sale,-32,y,,,,,,,,,
2/11/2020,2/12/2020,PEACOCK KORIANDER INDIAN,Food & Drink,Sale,-56.53,y,,,,,,,,,
2/11/2020,2/12/2020,LYNGSO GARDEN MATERIALS,Home,Sale,-37.69,y,,,,,,,,,
2/11/2020,2/11/2020,Payment Thank You - Web,,Payment,3000,y,,,,,,,,,
2/7/2020,2/9/2020,VINTAGE WASHINGTON GEG,Food & Drink,Sale,-26.19,y,,,,,,,,,
2/8/2020,2/9/2020,HERTZ RENT-A-CAR,Travel,Sale,-335.46,y,,,,,,,,,
2/6/2020,2/9/2020,ANTHONY'S AT SPOKANE FAL,Food & Drink,Sale,-137.44,y,,,,,,,,,
2/8/2020,2/9/2020,LYNGSO GARDEN MATERIALS,Home,Sale,-252.86,y,,,,,,,,,
2/7/2020,2/9/2020,THE DAVENPORT GRAND HO,Travel,Sale,-646.86,y,,,,,,,,,
2/7/2020,2/9/2020,THE DAVENPORT GRAND,Food & Drink,Sale,-54.74,y,,,,,,,,,
2/8/2020,2/9/2020,ISLA RESTAURANT,Food & Drink,Sale,-80.72,y,,,,,,,,,
2/7/2020,2/9/2020,IMRAN TAXI SERVICE,Travel,Sale,-53.25,y,,,,,,,,,
2/5/2020,2/7/2020,AVISTA,Food & Drink,Sale,-10.32,y,,,,,,,,,
2/5/2020,2/6/2020,THE DAVENPORT GRAND,Food & Drink,Sale,-78.32,y,,,,,,,,,
2/4/2020,2/6/2020,AVISTA,Food & Drink,Sale,-11.79,y,,,,,,,,,
2/5/2020,2/6/2020,SUSHI COM,Food & Drink,Sale,-80.61,y,,,,,,,,,
2/3/2020,2/5/2020,AVISTA,Food & Drink,Sale,-13.36,y,,,,,,,,,
2/4/2020,2/5/2020,THE DAVENPORT GRAND,Food & Drink,Sale,-64.34,y,,,,,,,,,
2/1/2020,2/3/2020,HOTARU,Food & Drink,Sale,-72.96,y,,,,,,,,,
2/2/2020,2/3/2020,IMRAN TAXI SERVICE,Travel,Sale,-53.2,y,,,,,,,,,
2/1/2020,2/3/2020,SAFEWAY #639,Groceries,Sale,-48.05,,,,,,,,,,
2/1/2020,2/2/2020,ANNUAL MEMBERSHIP FEE,Fees & Adjustments,Fee,-450,y,,,,,,,,,
1/29/2020,1/31/2020,UNITED      0162492886586,Travel,Sale,-576.8,y spokane,,,,,,,,,
1/24/2020,1/26/2020,HILTON HOTELS PORTLAND,Travel,Return,992.75,y,,,,,,,,,
1/24/2020,1/26/2020,IMRAN TAXI SERVICE,Travel,Sale,-52.25,y,,,,,,,,,
1/24/2020,1/26/2020,PDX HOPWRKS URBANBREW1515,Food & Drink,Sale,-20.5,y,,,,,,,,,
1/24/2020,1/26/2020,HILTON HOTELS PORTLAND,Travel,Sale,-992.75,y,,,,,,,,,
1/24/2020,1/26/2020,HILTON HOTELS PORTLAND,Travel,Sale,-951.25,y,,,,,,,,,
1/25/2020,1/26/2020,Payment Thank You - Web,,Payment,3000,y,,,,,,,,,
1/20/2020,1/21/2020,UBER   TRIP,Travel,Sale,-28.86,y,,,,,,,,,
1/19/2020,1/20/2020,IMRAN TAXI SERVICE,Travel,Sale,-51.85,y,,,,,,,,,
1/17/2020,1/20/2020,SOONS TOFU AND KOREN BBQ,Food & Drink,Sale,-65.7,y,,,,,,,,,
1/11/2020,1/12/2020,COURTYARD LAS VEGAS,Travel,Sale,-304.99,y,,,,,,,,,
1/10/2020,1/12/2020,COURTYARD LAS VEGAS,Travel,Sale,-1492.08,y,,,,,,,,,
1/10/2020,1/12/2020,HERTZ RENT-A-CAR,Travel,Sale,-270.45,y,,,,,,,,,
1/9/2020,1/12/2020,SAMMY'S WOODFIRE PIZZA,Food & Drink,Sale,-20.34,y,,,,,,,,,
1/10/2020,1/12/2020,CHEVRON 0207110,Gas,Sale,-22.42,y,,,,,,,,,
1/10/2020,1/12/2020,IMRAN TAXI SERVICE,Travel,Sale,-52.7,y,,,,,,,,,
1/7/2020,1/9/2020,SAMMY'S WOODFIRE PIZZA,Food & Drink,Sale,-24.05,y,,,,,,,,,
1/9/2020,1/9/2020,UBER   EATS,Food & Drink,Sale,-47.73,y,,,,,,,,,
1/8/2020,1/9/2020,HEDARY'S MEDITERRANEAN,Food & Drink,Sale,-20.83,y,,,,,,,,,
1/6/2020,1/8/2020,SAMMY'S WOODFIRE PIZZA,Food & Drink,Sale,-73.13,y,,,,,,,,,
1/7/2020,1/7/2020,UBER   EATS,Food & Drink,Sale,-71.98,y,,,,,,,,,
1/5/2020,1/6/2020,IMRAN TAXI SERVICE,Travel,Sale,-53.2,y,,,,,,,,,
1/1/2020,1/3/2020,SOONS TOFU AND KOREN BBQ,Food & Drink,Sale,-70,y,,,,,,,,,
,,,,,,,,,,,,,,,
12/29/2019,12/30/2019,APPLE FRITTER,Food & Drink,Sale,-32.74,,,,,,,,,,
12/28/2019,12/30/2019,THE HOME DEPOT 632,Home,Sale,-217.91,,,,,,,,,,
12/23/2019,12/24/2019,BAY AREA GLASS DEPOT,Automotive,Sale,-304.27,y,,,,,,,,,
12/23/2019,12/23/2019,Payment Thank You - Web,,Payment,3500,y,,,,,,,,,
12/21/2019,12/23/2019,COSMOPOLITAN FRONT DESK,Travel,Sale,-994.36,y,,,,,,,,,
12/21/2019,12/23/2019,BJS RESTAURANTS 443,Food & Drink,Sale,-41.63,y,,,,,,,,,
12/21/2019,12/23/2019,TOTAL WINE AND MORE 1128,Food & Drink,Sale,-385.75,y,,,,,,,,,
,,,,,,,,,,,,,,,
12/20/2019,12/22/2019,SQ *FOG CITY,Travel,Sale,-51.1,y,,,,,,,,,
12/20/2019,12/22/2019,HERTZ RENT-A-CAR,Travel,Sale,-270.19,y,,,,,,,,,
12/20/2019,12/22/2019,THE MARKETPLACE,Gas,Sale,-25.54,y,,,,,,,,,
12/20/2019,12/22/2019,TST* VEGANBITES CAFE,Food & Drink,Sale,-87.73,y,,,,,,,,,
12/18/2019,12/20/2019,HASH HOUSE A GO GO,Food & Drink,Sale,-21.13,y,,,,,,,,,
12/18/2019,12/20/2019,COSMOPOLITAN HOLSTEIN'S,Food & Drink,Sale,-50.22,y,,,,,,,,,
12/17/2019,12/19/2019,COSMOPOLITAN HOLSTEIN'S,Food & Drink,Sale,-50.22,y,,,,,,,,,
12/17/2019,12/19/2019,SAMMY'S WOODFIRE PIZZA,Food & Drink,Sale,-22.94,y,,,,,,,,,
12/16/2019,12/18/2019,COSMOPOLITAN ROOM SVC,Food & Drink,Sale,-87.48,y,,,,,,,,,
12/18/2019,12/18/2019,Montblanc,Shopping,Sale,-573.73,y,,,,,,,,,
12/16/2019,12/18/2019,NEVADA CHICKEN CAFE,Food & Drink,Sale,-15.69,y,,,,,,,,,
12/15/2019,12/17/2019,COSMOPOLITAN HOLSTEIN'S,Food & Drink,Sale,-50.22,y,,,,,,,,,
12/15/2019,12/17/2019,TRAVEL CREDIT $300/YEAR,Fees & Adjustments,Adjustment,246.5,y,,,,,,,,,
12/15/2019,12/17/2019,UNITED      0162486361205,Travel,Sale,-863.6,y,LV,,,,,,,,
12/15/2019,12/16/2019,TRAVEL CREDIT $300/YEAR,Fees & Adjustments,Adjustment,53.5,y,,,,,,,,,
12/15/2019,12/16/2019,IMRAN TAXI SERVICE,Travel,Sale,-53.5,y,,,,,,,,,
12/14/2019,12/15/2019,CVS/PHARMACY #09977,Health & Wellness,Sale,-10,y,,,,,,,,,
12/13/2019,12/15/2019,RAINBOW PIZZA,Food & Drink,Sale,-49.68,,,,,,,,,,
12/14/2019,12/15/2019,PATRICIA KERRIGAN,Health & Wellness,Sale,-55,y,,,,,,,,,
12/9/2019,12/10/2019,LAMPS PLUS - 39,Home,Sale,-142.33,,,,,,,,,,
12/6/2019,12/9/2019,NEVADA CHICKEN CAFE,Food & Drink,Sale,-18.65,y,,,,,,,,,
12/8/2019,12/8/2019,Payment Thank You - Web,,Payment,5000,y,,,,,,,,,
12/6/2019,12/8/2019,IMRAN TAXI SERVICE,Travel,Sale,-52.65,y,,,,,,,,,
12/5/2019,12/8/2019,NEVADA CHICKEN CAFE,Food & Drink,Sale,-17.85,y,,,,,,,,,
12/7/2019,12/8/2019,ROSE CLEANERS,Personal,Sale,-41,y,,,,,,,,,
12/7/2019,12/8/2019,CHAVEZ SUPERMARKET,Groceries,Sale,-40.9,,,,,,,,,,
12/6/2019,12/8/2019,HERTZ RENT-A-CAR,Travel,Sale,-270.19,y,,,,,,,,,
12/6/2019,12/8/2019,ARCO #42370 AMPM,Gas,Sale,-11.34,y,,,,,,,,,
12/6/2019,12/8/2019,0871-LV PGA,Shopping,Sale,-48.67,y,,,,,,,,,
12/7/2019,12/8/2019,COURTYARD BY MARRIOTT-,Travel,Sale,-980.84,y,,,,,,,,,
12/4/2019,12/6/2019,COSMOPOLITAN RESERVATION,Travel,Sale,-164.4,y,,,,,,,,,
12/6/2019,12/6/2019,UBER   *EATS,Food & Drink,Sale,-67.38,y,,,,,,,,,
12/4/2019,12/6/2019,NEVADA CHICKEN CAFE,Food & Drink,Sale,-20.56,y,,,,,,,,,
12/5/2019,12/5/2019,UBER   EATS,Food & Drink,Sale,-54.32,y,,,,,,,,,
12/3/2019,12/5/2019,NEVADA CHICKEN CAFE,Food & Drink,Sale,-18.12,y,,,,,,,,,
12/3/2019,12/5/2019,COURTYARD BY MARRIOTT-,Travel,Sale,-32.17,y,,,,,,,,,
12/2/2019,12/4/2019,NEVADA CHICKEN CAFE,Food & Drink,Sale,-13.26,y,,,,,,,,,
12/2/2019,12/3/2019,DOGPATCH BAKEHOUSE &amp; CAFE,Food & Drink,Sale,-24.29,y,,,,,,,,,
12/3/2019,12/3/2019,UBER   *EATS,Food & Drink,Sale,-6.12,y,,,,,,,,,
12/3/2019,12/3/2019,UBER   *EATS,Food & Drink,Sale,-61.26,y,,,,,,,,,
12/1/2019,12/2/2019,IMRAN TAXI SERVICE,Travel,Sale,-53.1,y,,,,,,,,,
11/26/2019,11/27/2019,AMZN Mktp US*HG5RL73M3,Shopping,Sale,-36.57,y,,,,,,,,,
11/26/2019,11/26/2019,Payment Thank You - Web,,Payment,5000,y,,,,,,,,,
,,,,,,,,,,,,,,,
11/24/2019,11/25/2019,IMRAN TAXI SERVICE,Travel,Sale,-52.05,y,,,,,,,,,
11/23/2019,11/25/2019,MARRIOTT EXECUTIVE APA,Travel,Sale,-4806.18,y,,,,,,,,,
11/24/2019,11/25/2019,76 - NW255427 ASD2 NOC,Gas,Sale,-37.21,y,,,,,,,,,
11/22/2019,11/24/2019,IMPULSE REST,Food & Drink,Sale,-42.6,y,,,,,,,,,
11/22/2019,11/24/2019,MARRIOTT HOTEL DOWNTOW,Travel,Sale,-45.33,y,,,,,,,,,
11/21/2019,11/24/2019,UNITED      0162483081889,Travel,Sale,-186.6,y,Portland,,,,,,,,
11/22/2019,11/24/2019,STARBUCKS CC 4441,Food & Drink,Sale,-32.04,y,,,,,,,,,
11/23/2019,11/24/2019,MARRIOTT HOTEL DOWNTOW,Travel,Sale,-25.41,y,,,,,,,,,
11/23/2019,11/24/2019,AL AHALIA GENERAL TRADING,Food & Drink,Sale,-40.43,y,,,,,,,,,
11/23/2019,11/24/2019,UBER   *TRIP,Travel,Sale,-30.09,y,,,,,,,,,
11/21/2019,11/22/2019,MARRIOTT HOTEL DOWNTOW,Travel,Sale,-23.67,y,,,,,,,,,
11/21/2019,11/22/2019,UNITED      0162483059006,Travel,Sale,-186.6,y,LV,,,,,,,,
11/20/2019,11/22/2019,UNITED      0162482955463,Travel,Sale,-1274.6,y,LV,,,,,,,,
11/21/2019,11/22/2019,UBER   *TRIP,Travel,Sale,-7.35,y,,,,,,,,,
11/21/2019,11/22/2019,BEAN THERE BISTRO-MAH,Food & Drink,Sale,-8.17,y,,,,,,,,,
11/21/2019,11/22/2019,UBER   *TRIP,Travel,Sale,-7.35,y,,,,,,,,,
11/21/2019,11/22/2019,MARRIOTT HOTEL DOWNTOW,Travel,Sale,-50.52,y,,,,,,,,,
11/20/2019,11/21/2019,BEAN THERE BISTRO-MAH,Food & Drink,Sale,-8.17,y,,,,,,,,,
11/20/2019,11/21/2019,MARRIOTT HOTEL DOWNTOW,Travel,Sale,-57.74,y,,,,,,,,,
11/20/2019,11/21/2019,MARRIOTT HOTEL DOWNTOW,Travel,Sale,-23.67,y,,,,,,,,,
11/20/2019,11/21/2019,UBER   *TRIP,Travel,Sale,-7.35,y,,,,,,,,,
11/20/2019,11/21/2019,UBER   *TRIP,Travel,Sale,-7.62,y,,,,,,,,,
11/19/2019,11/20/2019,BEAN THERE BISTRO-MAH,Food & Drink,Sale,-8.17,y,,,,,,,,,
11/19/2019,11/20/2019,MARRIOTT HOTEL DOWNTOW,Travel,Sale,-63.2,y,,,,,,,,,
11/19/2019,11/20/2019,UBER   *TRIP,Travel,Sale,-7.35,y,,,,,,,,,
11/19/2019,11/20/2019,UBER   *TRIP,Travel,Sale,-7.62,y,,,,,,,,,
11/18/2019,11/19/2019,BEAN THERE BISTRO-MAH,Food & Drink,Sale,-8.17,y,,,,,,,,,
11/18/2019,11/19/2019,MARRIOTT HOTEL DOWNTOW,Travel,Sale,-47.04,y,,,,,,,,,
11/18/2019,11/19/2019,MARRIOTT HOTEL DOWNTOW,Travel,Sale,-19.62,y,,,,,,,,,
11/18/2019,11/19/2019,UBER   *TRIP,Travel,Sale,-7.35,y,,,,,,,,,
11/18/2019,11/19/2019,UBER   *TRIP,Travel,Sale,-7.35,y,,,,,,,,,
11/17/2019,11/18/2019,UBER   *TRIP,Travel,Sale,-7.62,y,,,,,,,,,
11/17/2019,11/18/2019,MARRIOTT HOTEL DOWNTOW,Travel,Sale,-23.67,y,,,,,,,,,
11/17/2019,11/18/2019,UBER   *TRIP,Travel,Sale,-7.9,y,,,,,,,,,
11/17/2019,11/18/2019,MARRIOTT HOTEL DOWNTOW,Travel,Sale,-55.99,y,,,,,,,,,
11/17/2019,11/18/2019,BEAN THERE BISTRO-MAH,Food & Drink,Sale,-8.17,y,,,,,,,,,
11/16/2019,11/17/2019,Payment Thank You - Web,,Payment,5000,y,,,,,,,,,
11/15/2019,11/17/2019,MARRIOTT HOTEL DOWNTOW,Travel,Sale,-43.29,y,,,,,,,,,
11/15/2019,11/17/2019,MARRIOTT HOTEL DOWNTOW,Travel,Sale,-23.67,y,,,,,,,,,
11/16/2019,11/17/2019,MARRIOTT HOTEL DOWNTOW,Travel,Sale,-45.31,y,,,,,,,,,
11/15/2019,11/17/2019,STARBUCKS -D786 ALSHAY,Food & Drink,Sale,-38.5,y,,,,,,,,,
11/15/2019,11/17/2019,MARRIOTT HOTEL DOWNTOW,Travel,Sale,-43.29,y,,,,,,,,,
11/16/2019,11/17/2019,MARRIOTT HOTEL DOWNTOW,Travel,Sale,-24.82,y,,,,,,,,,
11/15/2019,11/17/2019,Brands,Shopping,Sale,-43.4,y,,,,,,,,,
,,,,,,,,,,,,,,,
11/14/2019,11/15/2019,UBER   *TRIP,Travel,Sale,-7.9,y,,,,,,,,,
11/14/2019,11/15/2019,BEAN THERE BISTRO-MAH,Food & Drink,Sale,-8.17,y,,,,,,,,,
11/14/2019,11/15/2019,MARRIOTT HOTEL DOWNTOW,Travel,Sale,-54.28,y,,,,,,,,,
11/14/2019,11/15/2019,UBER TRIP HELP.UBER.COM,Travel,Sale,-8.17,y,,,,,,,,,
11/13/2019,11/14/2019,UBER   *TRIP,Travel,Sale,-7.35,y,,,,,,,,,
11/13/2019,11/14/2019,BEAN THERE BISTRO-MAH,Food & Drink,Sale,-8.17,y,,,,,,,,,
11/13/2019,11/14/2019,MARRIOTT HOTEL DOWNTOW,Travel,Sale,-32.62,y,,,,,,,,,
11/13/2019,11/14/2019,UBER   *TRIP,Travel,Sale,-7.35,y,,,,,,,,,
11/13/2019,11/14/2019,MARRIOTT HOTEL DOWNTOW,Travel,Sale,-23.67,y,,,,,,,,,
11/12/2019,11/13/2019,BEAN THERE BISTRO-MAH,Food & Drink,Sale,-8.17,y,,,,,,,,,
11/12/2019,11/13/2019,UBER   *TRIP,Travel,Sale,-7.35,y,,,,,,,,,
11/12/2019,11/13/2019,MARRIOTT HOTEL DOWNTOW,Travel,Sale,-59.74,y,,,,,,,,,
11/12/2019,11/13/2019,UBER   *TRIP,Travel,Sale,-7.62,y,,,,,,,,,
11/11/2019,11/12/2019,UBER   *TRIP,Travel,Sale,-9.53,y,,,,,,,,,
11/11/2019,11/12/2019,UBER   *TRIP,Travel,Sale,-8.71,y,,,,,,,,,
11/11/2019,11/12/2019,MARRIOTT HOTEL DOWNTOW,Travel,Sale,-48.77,y,,,,,,,,,
11/11/2019,11/12/2019,MARRIOTT HOTEL DOWNTOW,Travel,Sale,-32.32,y,,,,,,,,,
11/12/2019,11/12/2019,MARRIOTT HOTEL DOWNTOWN A,Travel,Sale,-22.33,,,,,,,,,,
11/10/2019,11/11/2019,BEAN THERE BISTRO-MAH,Food & Drink,Sale,-8.17,y,,,,,,,,,
11/10/2019,11/11/2019,UBER   *TRIP,Travel,Sale,-7.62,y,,,,,,,,,
11/10/2019,11/11/2019,MARRIOTT HOTEL DOWNTOW,Travel,Sale,-32.33,y,,,,,,,,,
11/10/2019,11/11/2019,MARRIOTT HOTEL DOWNTOW,Travel,Sale,-63.23,y,,,,,,,,,
11/10/2019,11/10/2019,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-13.73,y,,,,,,,,,
11/9/2019,11/10/2019,MARRIOTT HOTEL DOWNTOW,Travel,Sale,-23.67,y,,,,,,,,,
11/9/2019,11/10/2019,MARRIOTT HOTEL DOWNTOW,Travel,Sale,-45.33,y,,,,,,,,,
11/8/2019,11/10/2019,DOT-AUH TAXI SERVICES,Bills & Utilities,Sale,-25.74,y,,,,,,,,,
11/9/2019,11/10/2019,MARRIOTT HOTEL DOWNTOWN A,Travel,Sale,-54.45,y,,,,,,,,,
11/8/2019,11/10/2019,MARRIOTT HOTEL DOWNTOWN A,Travel,Sale,-64.8,y,,,,,,,,,
11/6/2019,11/7/2019,IMRAN TAXI SERVICE,Travel,Sale,-52.8,y,,,,,,,,,
11/1/2019,11/3/2019,IMRAN TAXI SERVICE,Travel,Sale,-51.5,y,,,,,,,,,
10/31/2019,11/3/2019,DELTA HTLS WOODBRIDGE,Travel,Sale,-47.58,y,,,,,,,,,
,,,,,,,,,,,,,,,
11/2/2019,11/3/2019,DELTA HOTELS WOODBRIDG,Travel,Sale,-1195.94,y,,,,,,,,,
11/2/2019,11/3/2019,C3 - SAISON,Food & Drink,Sale,-27.42,y,,,,,,,,,
11/1/2019,11/3/2019,IMRAN TAXI SERVICE,Travel,Sale,-51.5,y,,,,,,,,,
11/1/2019,11/3/2019,HERTZ RENT-A-CAR,Travel,Sale,-491.99,y,,,,,,,,,
11/1/2019,11/3/2019,BP#1008929HILLSIDE SERVI,Gas,Sale,-8,y,,,,,,,,,
10/31/2019,11/3/2019,DELTA HTLS WOODBRIDGE,Travel,Sale,-47.58,y,,,,,,,,,
10/31/2019,11/3/2019,BESSEMER TRUST11403623,Food & Drink,Sale,-8.69,y,,,,,,,,,
10/30/2019,11/1/2019,DELTA HTLS WOODBRIDGE,Travel,Sale,-42.32,y,,,,,,,,,
10/30/2019,11/1/2019,BESSEMER TRUST11403623,Food & Drink,Sale,-8.1,y,,,,,,,,,
10/29/2019,10/31/2019,BESSEMER TRUST11403623,Food & Drink,Sale,-7.01,y,,,,,,,,,
10/28/2019,10/30/2019,BESSEMER TRUST11403623,Food & Drink,Sale,-8.1,y,,,,,,,,,
10/27/2019,10/29/2019,DELTA HTLS WOODBRIDGE,Travel,Sale,-60.38,y,,,,,,,,,
10/27/2019,10/29/2019,INMOTION ENT SFO-F2,Shopping,Sale,-98.31,y,,,,,,,,,
10/27/2019,10/28/2019,THE MENS WEARHOUSE #2162,Shopping,Return,82.13,y,,,,,,,,,
10/27/2019,10/28/2019,IMRAN TAXI SERVICE,Travel,Sale,-52.1,y,,,,,,,,,
10/27/2019,10/28/2019,THE MENS WEARHOUSE #2162,Shopping,Return,78.84,y,,,,,,,,,
10/26/2019,10/28/2019,SUBWAY        03464005,Food & Drink,Sale,-20.78,y,,,,,,,,,
10/26/2019,10/27/2019,PATRICIA KERRIGAN,Health & Wellness,Sale,-55,y,,,,,,,,,
10/26/2019,10/27/2019,UBER   *EATS,Food & Drink,Sale,-51.9,y,,,,,,,,,
10/26/2019,10/27/2019,CHAVEZ SUPERMARKET,Groceries,Sale,-7,y,,,,,,,,,
10/26/2019,10/27/2019,ROSE CLEANERS,Personal,Sale,-44,y,,,,,,,,,
10/26/2019,10/27/2019,THE MENS WEARHOUSE #2162,Shopping,Sale,-75.57,y,,,,,,,,,
10/26/2019,10/27/2019,UBER   *EATS,Food & Drink,Sale,-5.43,,,,,,,,,,
10/25/2019,10/27/2019,TST* NEW ENGLAND LOBSTER,Food & Drink,Sale,-12.38,y,,,,,,,,,
