INV-0044,Unit C,01 Mar 2016,06 Mar 2016,Dues,PHP,"1,000.00",0.00,Deleted,Receivable Invoice,Not sent
INV-0045,Unit D,01 Mar 2016,06 Mar 2016,Dues,PHP,"1,000.00",0.00,Paid,Receivable Invoice,Not sent
INV-0046,Unit E,01 Mar 2016,06 Mar 2016,Dues,PHP,500.00,0.00,Paid,Receivable Invoice,Not sent
INV-0047,Unit F,01 Mar 2016,06 Mar 2016,Dues,PHP,"1,000.00",0.00,Paid,Receivable Invoice,Not sent
INV-0048,Unit A,01 Mar 2016,06 Mar 2016,Water,PHP,728.88,0.00,Paid,Receivable Invoice,Not sent
INV-0049,Unit B,01 Mar 2016,06 Mar 2016,Water,PHP,728.88,0.00,Paid,Receivable Invoice,Not sent
INV-0050,Unit C,01 Mar 2016,06 Mar 2016,Water,PHP,850.00,0.00,Paid,Receivable Invoice,Not sent
INV-0051,Unit D,01 Mar 2016,06 Mar 2016,Water,PHP,790.00,0.00,Paid,Receivable Invoice,Not sent
INV-0052,Unit E,01 Mar 2016,06 Mar 2016,Water,PHP,"1,215.00",0.00,Paid,Receivable Invoice,Not sent
INV-0053,Unit F,01 Mar 2016,06 Mar 2016,Water,PHP,364.00,0.00,Paid,Receivable Invoice,Not sent
INV-0054,Unit A,01 Mar 2016,06 Mar 2016,Electricity,PHP,"3,014.00","3,014.00",Voided,Receivable Invoice,Not sent
INV-0055,Unit B,01 Mar 2016,06 Mar 2016,Electricity,PHP,"4,356.00","4,356.00",Voided,Receivable Invoice,Not sent
INV-0056,Unit C,01 Mar 2016,06 Mar 2016,Electricity,PHP,"3,190.00","3,190.00",Voided,Receivable Invoice,Not sent
INV-0057,Unit D,01 Mar 2016,06 Mar 2016,Electricity,PHP,"2,376.00","2,376.00",Voided,Receivable Invoice,Not sent
INV-0058,Unit E,01 Mar 2016,06 Mar 2016,Electricity,PHP,0.00,0.00,Paid,Receivable Invoice,Not sent
INV-0059,Unit F,01 Mar 2016,06 Mar 2016,Electricity,PHP,253.00,253.00,Voided,Receivable Invoice,Not sent
INV-0060,Unit A,01 Mar 2016,06 Mar 2016,Electricity,PHP,"2,220.00",0.00,Paid,Receivable Invoice,Not sent
INV-0061,Unit F,01 Mar 2016,06 Mar 2016,Electricity,PHP,370.00,0.00,Paid,Receivable Invoice,Not sent
INV-0062,Unit E,01 Mar 2016,06 Mar 2016,Electricity,PHP,"7,722.00","7,722.00",Voided,Receivable Invoice,Not sent
INV-0063,Unit D,01 Mar 2016,06 Mar 2016,Electricity,PHP,"2,010.00",0.00,Paid,Receivable Invoice,Not sent
INV-0064,Unit C,01 Mar 2016,06 Mar 2016,Electricity,PHP,"3,050.00",0.00,Paid,Receivable Invoice,Not sent
INV-0065,Unit B,01 Mar 2016,06 Mar 2016,Electricity,PHP,"3,800.00",0.00,Paid,Receivable Invoice,Not sent
INV-0066,Unit E,01 Mar 2016,05 Mar 2016,Electricity,PHP,0.00,0.00,Deleted,Receivable Invoice,Not sent
INV-0066,ElectricityE,06 Mar 2016,28 Mar 2016,,PHP,"7,140.00","7,140.00",Voided,Receivable Invoice,Not sent
INV-0067,Unit A,30 Mar 2016,08 Apr 2016,,PHP,"13,000.00","13,000.00",Voided,Receivable Invoice,Not sent
INV-0068,Unit B,30 Mar 2016,08 Apr 2016,,PHP,"14,000.00","14,000.00",Voided,Receivable Invoice,Not sent
INV-0069,Unit C,30 Mar 2016,08 Apr 2016,,PHP,"13,000.00",0.00,Paid,Receivable Invoice,Not sent
INV-0070,Unit D,30 Mar 2016,08 Apr 2016,,PHP,"14,000.00",0.00,Paid,Receivable Invoice,Not sent
INV-0071,Unit E,30 Mar 2016,04 Apr 2016,,PHP,"14,000.00","14,000.00",Voided,Receivable Invoice,Not sent
INV-0072,Unit F,30 Mar 2016,04 Apr 2016,,PHP,"14,000.00","14,000.00",Voided,Receivable Invoice,Not sent
INV-0073,Unit A,30 Mar 2016,08 Apr 2016,,PHP,"1,000.00","1,000.00",Voided,Receivable Invoice,Not sent
INV-0074,Unit B,30 Mar 2016,08 Apr 2016,,PHP,"1,000.00","1,000.00",Voided,Receivable Invoice,Not sent
INV-0075,Unit C,30 Mar 2016,04 Apr 2016,,PHP,"1,000.00",0.00,Paid,Receivable Invoice,Not sent
INV-0076,Unit D,30 Mar 2016,06 Apr 2016,,PHP,"1,000.00",0.00,Paid,Receivable Invoice,Not sent
INV-0077,Unit E,30 Mar 2016,04 Apr 2016,,PHP,"1,000.00","1,000.00",Voided,Receivable Invoice,Not sent
INV-0078,Unit F,30 Mar 2016,08 Apr 2016,,PHP,"1,000.00","1,000.00",Voided,Receivable Invoice,Not sent
INV-0079,Unit F,01 Apr 2016,06 Apr 2016,Electricity,PHP,369.21,0.00,Paid,Receivable Invoice,Not sent
INV-0080,Unit E,01 Apr 2016,06 Apr 2016,Electricity,PHP,"9,747.27",0.00,Paid,Receivable Invoice,Not sent
INV-0081,Unit D,01 Apr 2016,06 Apr 2016,Electricity,PHP,"2,995.91",0.00,Paid,Receivable Invoice,Not sent
INV-0082,Unit C,01 Apr 2016,06 Apr 2016,Electricity,PHP,"3,249.92",0.00,Paid,Receivable Invoice,Not sent
INV-0083,Unit B,01 Apr 2016,06 Apr 2016,Electricity,PHP,"4,768.14",0.00,Paid,Receivable Invoice,Not sent
INV-0084,Unit A,01 Apr 2016,06 Apr 2016,Electricity,PHP,"2,784.93",0.00,Paid,Receivable Invoice,Not sent
INV-0085,Unit F,01 Apr 2016,06 Apr 2016,Water,PHP,422.00,0.00,Paid,Receivable Invoice,Not sent
INV-0086,Unit E,01 Apr 2016,06 Apr 2016,Water,PHP,"1,387.00",0.00,Paid,Receivable Invoice,Not sent
INV-0087,Unit D,01 Apr 2016,06 Apr 2016,Water,PHP,784.00,0.00,Paid,Receivable Invoice,Not sent
INV-0088,Unit C,01 Apr 2016,06 Apr 2016,Water,PHP,905.10,0.00,Paid,Receivable Invoice,Not sent
INV-0089,Unit B,01 Apr 2016,06 Apr 2016,Water,PHP,844.76,0.00,Paid,Receivable Invoice,Not sent
INV-0090,Unit A,01 Apr 2016,06 Apr 2016,Water,PHP,724.08,0.00,Paid,Receivable Invoice,Not sent
INV-0091,Unit F,01 Apr 2016,06 Apr 2016,Dues,PHP,"1,000.00",0.00,Paid,Receivable Invoice,Not sent
INV-0092,Unit E,01 Apr 2016,05 May 2016,Dues,PHP,"1,000.00",0.00,Paid,Receivable Invoice,Not sent
INV-0093,Unit D,01 Apr 2016,06 Apr 2016,Dues,PHP,"1,000.00",0.00,Deleted,Receivable Invoice,Not sent
INV-0094,Unit C,01 Apr 2016,06 Apr 2016,Dues,PHP,"1,000.00",0.00,Paid,Receivable Invoice,Not sent
INV-0095,Unit B,01 Apr 2016,06 Apr 2016,Dues,PHP,"1,000.00",0.00,Paid,Receivable Invoice,Not sent
INV-0096,Unit A,01 Apr 2016,06 Apr 2016,Dues,PHP,"1,000.00",0.00,Paid,Receivable Invoice,Not sent
INV-0097,Unt F,01 Apr 2016,06 Apr 2016,Rent,PHP,"14,000.00",0.00,Paid,Receivable Invoice,Not sent
INV-0098,Unit C,01 Apr 2016,06 Apr 2016,Rent,PHP,"13,000.00",0.00,Paid,Receivable Invoice,Not sent
INV-0099,Unit E,01 Apr 2016,06 Apr 2016,Rent,PHP,"14,000.00",0.00,Paid,Receivable Invoice,Not sent
INV-0100,Unit D,01 Apr 2016,06 Apr 2016,Rent,PHP,"14,000.00",0.00,Deleted,Receivable Invoice,Not sent
INV-0101,Unit B,01 Apr 2016,06 Apr 2016,Rent,PHP,"14,000.00",0.00,Paid,Receivable Invoice,Not sent
INV-0102,Unit A,01 Apr 2016,06 Apr 2016,Rent,PHP,"13,000.00",0.00,Paid,Receivable Invoice,Not sent
INV-0103,Unit E,02 Apr 2016,01 Mar 2016,Electricity,PHP,"7,140.00",0.00,Paid,Receivable Invoice,Not sent
